source_wav_id,chunk_index,heat_flux,band_hz,signal_stft_power,noise20_stft_power,realized_band_snr_at_ref_minus20,realized_band_snr_at_ref_zero
index=15.6.24E+05,0,624442.5514,500-3000,0.0011055657273599283,4.35411990436025e-06,24.046841825379147,44.04684182537915
index=15.6.24E+05,0,624442.5514,3000-22050,0.00017559656008146217,6.610361155056919e-05,4.242908161893878,24.24290816189388
index=15.6.24E+05,0,624442.5514,0-22050,0.0012817039823104022,7.047151456644572e-05,12.597741282807153,32.59774128280715
index=15.6.24E+05,30,624442.5514,500-1000,9.292329851108506e-05,1.6935737324480336e-06,17.393205085137737,37.39320508513774
index=15.6.24E+05,30,624442.5514,1000-2000,0.00027168797224951685,2.1421019097518153e-07,31.03230284032655,51.03230284032655
index=15.6.24E+05,30,624442.5514,2000-3000,0.0008606562161081148,2.2874730006400457e-07,35.754737330706504,55.754737330706504
index=15.6.24E+05,30,624442.5514,3000-5000,1.565898171976808e-05,3.9738488453477373e-07,15.955521734378433,35.955521734378436
index=15.6.24E+05,30,624442.5514,5000-10000,0.00016729949915483187,1.2332727545712567e-05,11.324355036313436,31.324355036313435
index=15.6.24E+05,30,624442.5514,10000-15000,1.2500910696791877e-05,3.299398763413439e-05,-4.214931545928639,15.78506845407136
index=15.6.24E+05,30,624442.5514,15000-22050,1.1111870282483866e-05,1.9401005726237185e-05,-2.4203708094807417,17.57962919051926
index=15.6.24E+05,30,624442.5514,500-3000,0.0012252674868687167,2.1365312234872198e-06,27.58521665403127,47.58521665403127
index=15.6.24E+05,30,624442.5514,3000-22050,0.0002065712618538757,6.512510579061892e-05,5.013214606527444,25.013214606527445
index=15.6.24E+05,30,624442.5514,0-22050,0.0014330033134147583,6.727049294886384e-05,13.284225844373,33.284225844373
index=15.6.24E+05,59,624442.5514,500-1000,7.867553195348104e-05,1.4234308639376297e-06,17.425033097113857,37.425033097113854
index=15.6.24E+05,59,624442.5514,1000-2000,0.00021785923611856853,2.1537695066987777e-07,30.04976752648585,50.04976752648585
index=15.6.24E+05,59,624442.5514,2000-3000,0.0006624108616616833,1.9634717284591896e-07,35.28102792681176,55.28102792681176
index=15.6.24E+05,59,624442.5514,3000-5000,1.6302469290573284e-05,3.1352603372795725e-07,17.15979782351176,37.15979782351176
index=15.6.24E+05,59,624442.5514,5000-10000,0.00015463768107195575,8.803116670416599e-06,12.446788707086213,32.44678870708621
index=15.6.24E+05,59,624442.5514,10000-15000,1.0532642074244584e-05,3.761802899323205e-05,-5.528587108206428,14.471412891793573
index=15.6.24E+05,59,624442.5514,15000-22050,8.898094705287332e-06,1.8667815056408032e-05,-3.217964658703334,16.782035341296666
index=15.6.24E+05,59,624442.5514,500-3000,0.0009589456297337328,1.8351549874534266e-06,27.181212359104066,47.181212359104066
index=15.6.24E+05,59,624442.5514,3000-22050,0.00019037088714206097,6.540248675378464e-05,4.640062722342054,24.640062722342055
index=15.6.24E+05,59,624442.5514,0-22050,0.0011500389050609584,6.724528607258909e-05,12.330506870131702,32.3305068701317
