experiment_name,test_noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,0.49546782921685156,0.5116576803862294,177054.99838107676,99579.03034846044,150975.95218280112,95697.94830017231,0.9159694953374355,0.028572955174423875
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,3,0.7251484020395499,0.10956808517821691,138845.77789934058,32178.419162948183,99360.86517780111,28673.384626690917,0.9387975244212369,0.007554778405340043
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,0.6907637320364324,0.11858180391585163,145407.91376512777,25186.02542067491,123450.70208002331,31480.570236024345,0.9028709674136568,0.05986972777201876
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,0.6914842956386122,0.11036655241597423,146885.78027127622,30358.34041849063,123998.89830196781,28881.567684983373,0.8995287602205732,0.03305116484360197
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,3,0.7007592306104288,0.16657968247592658,141817.68013606418,36735.55319640628,112758.46648585668,27990.167549298465,0.9220687861771716,0.038126298179364825
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.7664985090022615,0.02277023333785994,129426.82455268355,5731.7090402186095,107263.13090891224,7030.519882281684,0.9255805997192029,0.008419124012598818
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,0.48002277865745296,0.48769819385312146,181537.1301183791,95418.23463773892,152227.49096280112,91060.60768657112,0.9014745938332972,0.03993049117948421
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,3,0.725126800827149,0.10959762617931958,138850.6851025576,32185.60720845741,99465.57871946778,28831.6662931701,0.9390238935319727,0.007171736860803672
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,3,0.7349595202318248,0.10677979633884675,134329.68575374383,24932.411752159725,112877.62282141222,29217.62618614988,0.914894670445145,0.05139914512663273
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.7220907602710173,0.0625330332160315,140476.46913860226,22174.24378556617,123500.33794307889,23120.179474485773,0.9154550789398271,0.015241164070305964
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,3,0.7007592306104288,0.16657968247592658,141817.68013606418,36735.55319640628,112758.46648585668,27990.167549298465,0.9220687861771716,0.038126298179364825
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,3,0.8118896371838303,0.039717870657319944,115916.49684164627,12624.592938470565,93204.0467330789,10636.236925286348,0.9412733441374576,0.010809103949146512
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,0.5015062141099982,0.49966974384505614,176337.76596443658,97922.480634915,148883.99953613445,91510.27153882427,0.9082939558271327,0.04365526129479668
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,3,0.7241746340931982,0.11090449608934129,139066.57137321337,32502.462780427777,100240.18208280111,30010.64890570861,0.935424131166196,0.013325394447772247
2025.07.09_0.3_1,no_noise,group_kfold,full_spectrogram_pca,3,0.18705766762477902,0.5157577189936128,234665.88956549912,89796.40541177489,191398.81638788417,78755.92376829385,0.5617488799175703,0.48408190970510845
2025.07.09_0.3_1,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.2488096398864589,0.3559100568443297,230207.91153537095,63437.15600136611,184988.3466323626,47122.23867581405,0.6794203257089833,0.21579871958135283
2025.07.09_0.3_1,no_noise,group_kfold,total_power_only,3,0.25621915432030334,0.20212522384818335,232924.4131235568,42328.63310177509,179271.21123455148,32333.395565173814,0.6956382696028648,0.17551788984544253
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,3,0.2527907149952223,0.37657697744126456,234497.71212849338,40052.79598826349,199202.14214862723,47127.339224438314,0.6470250152113844,0.12717816555105338
